qid,label
Q1479654,Wiley
Q1377565,Europäische Verlagsanstalt
Q766962,University of Cantabria
Q16912403,Espasa-Calpe
Q16934727,Scarecrow Press
Q11080946,New Century Press
Q17518122,Alphonse Lemerre
Q7969067,Ward Ritchie
Q11697907,Ferdynand Hoesick
Q18670304,Jajasan Kebudajaan Sadar
Q12132996,Nash Format
Q12269955,The Chinese University of Hong Kong Press
Q26265149,G. Hassell and Son
Q1470320,Meulenhoff
Q3041095,Duke University Press
Q2635075,Éditions du Seuil
Q3047577,Ediciones B
Q2648991,Thomas Nelson and Sons Ltd
Q1431868,Alfred A. Knopf
Q1336200,Penguin Books
Q1040912,Marquis Who's Who
Q954828,CRC Press
Q2111400,ProQuest
Q2031051,Perm State University
Q1663147,Karl Dietz Verlag Berlin
Q1892146,Presses Universitaires De France
Q5654997,Harcourt
Q7095992,Open Court Publishing Company
Q6128174,Siglo XXI
Q6978526,National Society for Women's Suffrage
Q7014807,New York University Press
Q6800322,McClelland & Stewart
Q7721960,The Century Company
Q7806522,Times Books
Q7603485,State Publishing Institute PIW
Q257186,Literatura Mondo
Q230899,University of Manchester
Q7817,World Health Organization
Q3310248,Michel Lévy Frères
Q5345862,Edward Whitchurch
Q5049289,Cassell & Co
Q7895837,University of Missouri Press
Q15052999,Aerospace Publications
Q11713066,"Faculty of History, University of Warsaw"
Q22346059,Svoboda
Q10779753,Alois Hynek
Q26256961,A. Ireland and Co.
Q40783371,Pierre Lafitte Editions
Q15839178,Gerald Duckworth and Company
Q15912320,Derby & Miller
Q12332024,Politikens Forlag
Q12977016,New Horizon Media
Q28842758,Dr. Grégr a Ferd. Dattel
Q12016903,František Bačkovský
Q29956070,H. Fournier ainé
Q27827945,Knihkupectví Jaroslava Pospíšila
Q19458589,Editorial Maucci
Q1465172,"Lulu Press, Inc."
Q5561874,Gill
Q7379979,Running Press
Q7788182,Thomas Cadell
Q7490596,Shasta Publishers
Q7380179,Rupa & Co.
Q6443615,Kumarian Press
Q6724733,Macmillan New Writing
Q7194136,Pillar of Fire International
Q6421536,Klutz Press
Q7219663,Oz Vehadar
Q5818714,Editorial Sudamericana
Q1701176,John Murray
Q1706597,Joseph Jukes
Q2859303,Ar Falz
Q2990311,Companhia das Letras
Q2075464,Dell Publishing
Q2037236,University of Pennsylvania Press
Q723551,British Academy
Q2054191,Chapman and Hall London
Q3408689,Livraria Lello
Q3521877,The Mineralogical Record
Q3373257,Payot
Q3197874,Klincksieck
Q3551360,University of Washington Press
Q4039300,Gazeta Polska
Q6132898,James Duffy
Q4134637,Gebethner i Wolff
Q7053387,Norrœna Society
Q10729193,"Albatros, nakladatelství pro děti a mládež"
Q3149496,Imprimerie Nationale
Q119818,Bernard Quaritch
Q921045,John Wanamaker
Q4902925,Białystok School of Public Administration
Q3917522,Białoruskie Towarzystwo Historyczne
Q4044531,Morgan Kaufmann Publishers
Q3579322,Editions Fasquelle
Q5614104,Guardians of Order
Q3752406,Fratelli Treves
Q4667842,Abingdon Press
Q4779613,Workman Publishing Company
Q5189454,Crown Publishing Group
Q3374730,Penguin Group
Q4669411,Abrams Books
Q4813415,Atheneum Books
Q5188783,Crossroad Publishing Company
Q4907694,Puffin Books
Q3655695,Edward Stanford
Q3522472,Religious Tract Society
Q911673,Longman
Q35473,window
Q33518,Dover
Q2867869,Mosaic Books Ltd.
Q2861815,Armand Colin
Q2996566,Coop Breizh
Q2881559,Russki Yazik
Q3048223,Edouard Pelletan
Q3116159,Greenwood Publishing Group
Q2744153,Western Publishing
Q20645465,Elain Publishing House
Q51459519,Visva-Bharati Granthana Vibhaga
Q19443315,Librería de Fernando Fé
Q46927392,Algonquin Books
Q30049601,F. W. Niven & Co.
Q28750955,self-published work
Q50895561,Editorial Montaner y Simón
Q904687,Instituto Nacional de Matemática Pura e Aplicada
Q914456,Goldmann
Q1357666,World Scientific
Q2308275,De Bezige Bij
Q842496,Takeshobo
Q1296491,National Geospatial-Intelligence Agency
Q946277,Daniel Bomberg
Q1331427,Iwanami Shoten
Q2147178,Reynal & Hitchcock
Q17538695,Electa
Q17902828,"L. MacVeagh, The Dial Press"
Q18014774,The Museum
Q18325060,Estampa de Leopoldo Domenech
Q17709540,Bietti
Q17982386,"Izdatelʹstvo ""Peterburgskoe Vostokovedenie"""
Q18118077,Casa editrice Risorgimento
Q59138603,Ordfront
Q20799737,The Menthol House publishing
Q28736417,self-released
Q18002408,Alfonso Fortunato Stella
Q56677707,Allen & Unwin
Q313966,Dexia
Q703322,Panini Comics
Q726081,Kodansha
Q7351982,Roberts Brothers
Q6758519,Marcus Ward & Co
Q6747553,Manchester University Press
Q5317558,Dutton
Q5203526,D. C. Heath and Company
Q6283171,Joseph Foster
Q5540027,George H. Doran Company
Q5238108,David Nutt
Q5344546,Edward Moxon
Q1181484,Debenhams
Q2394278,City Lights Bookstore
Q2823584,Actes Sud
Q3057051,Ernest Leroux
Q3288870,Marcel Dekker
Q2880453,Bureau of Popular Literature
Q3205210,L'École des loisirs
Q7788630,Thomas Cotes
Q7852896,Tundra Books
Q7876111,UWA Publishing
Q11281443,Penguin Classics
Q12405664,Devir
Q17781881,Anchor Books
Q8772125,Editorial Anagrama
Q7797764,Three Rivers Press
Q12406715,Makhon ha-Yiśreʼeli le-firsumim Talmudiyim
Q4422396,Scorpion
Q3847908,Marietti Editore
Q11754270,Leon Idzikowski
Q4736241,Altenberg Publishing
Q255147,Yale University Press
Q353060,Addison-Wesley
Q17308741,George Allen
Q7528832,"Sir Robert Phillimore, 1st Baronet"
Q7795366,Thomas Y. Crowell Co.
Q24204324,A. L. Burt Company
Q15694188,"Kegan Paul, Trench, Trübner & Co."
Q7387541,S. J. Clarke Publishing Company
Q8006916,William Clowes Ltd.
Q23810851,"Vernor, Hood & Sharpe"
Q26450569,Arthur Lee Humphreys
Q21718909,James Ridgway
Q24577740,Trübner & Co.
Q18200401,Richard James Cheeswright
Q20873554,State Charities Aid Association
Q7800720,Ticknor and Fields
Q7569997,Southern Historical Society
Q18508620,Reginald Brimley Johnson
Q18527119,Geoffrey Cumberlege
Q15888765,The Belford-Clarke Company
Q19835706,"The Norman, Remington Company"
Q2924503,Brentano's
Q4916857,Birmingham and Midland Institute
Q106926624,"COST action ""Distant Reading for European Literary History"" (CA16204)"
Q26690169,Bartholomaeus Gravius
Q40608079,Le Divan
Q67522908,Marie Cochart
Q65658406,Marshall Jones Company
Q40100542,Hetzel éds
Q98086319,Baudry's European Library
Q2659184,John Chapman
Q1503157,Shakespeare and Company
Q3011053,D. Appleton & Company
Q1814982,University of Chicago Press
Q3093062,G. P. Putnam's Sons
Q3117078,Grosset & Dunlap
Q251266,SAGE Publications
Q3357167,Aschehoug
Q795454,Barnes & Noble
Q12032431,Labyrint
