qid,label_en,affiliation_uuid,affiliation,affiliation_start_time_nodeId,affiliation_start_time_val,affiliation_start_time_prec,affiliation_end_time_nodeId,affiliation_end_time_val,affiliation_end_time_prec,affiliation_ref1_hash,affiliation_ref1_referenceUrl,affiliation_ref1_retrieved_nodeId,affiliation_ref1_retrieved_val,affiliation_ref1_retrieved_prec
Q45943775,Seth R. Bordenstein,5B2F1843-88F2-4AC9-A1C7-70F6B9635592,Q78041310,,,,,,,63084c503d28acea296eaa7cab8f654683594f03,https://as.vanderbilt.edu/biosci/people/index.php?group=primary-training-faculty,af1d0b824820d36603409c8aadad11e0,2019-12-10T00:00:00Z,11
Q45943775,Seth R. Bordenstein,3f823f57-4d7d-32a5-af8f-92c646045a36,Q91645674,,,,,,,237d7c7ca4c3e4881c901493f20439c6dcc2502d,https://www.vumc.org/viiii/person/seth-r-bordenstein-phd,b3bbbaf00b7ee7f20987fa45fa87e2f1,2020-05-12T00:00:00Z,11
Q45943775,Seth R. Bordenstein,9e7b61dd-4300-64ee-fb41-c0117eb54065,Q7914466,,,,,,,50d5048ae7928e33d7e5fa648ec1066f1eb41ff6,https://wag.app.vanderbilt.edu/PublicPage/Faculty/Details/26362,b3bbbaf00b7ee7f20987fa45fa87e2f1,2020-05-12T00:00:00Z,11
