qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
,The microbiome impacts host hybridization and speciation,,Asia K. Miller,1,,http://doi.org/10.1371/JOURNAL.PBIO.3001417,,2021-11-06,
,The microbiome impacts host hybridization and speciation,,Camille S. Westlake,2,,http://doi.org/10.1371/JOURNAL.PBIO.3001417,,2021-11-06,
