date,count
2020-05-05,2607
2020-05-06,2607
2020-05-07,2607
2020-05-08,2607
2020-05-09,2607
2020-05-10,2607
2020-05-11,2607
2020-05-12,2607
2020-05-13,2607
2020-05-14,2607
2020-05-15,2607
2020-05-16,2607
2020-05-17,2607
2020-05-18,2607
2020-05-19,2607
2020-05-20,2607
2020-05-21,2607
2020-05-22,2607
2020-05-23,2607
2020-05-24,2607
2020-05-25,2607
2020-05-26,2607
2020-05-27,2607
2020-05-28,2607
2020-05-29,2607
2020-05-30,2607
2020-05-31,2607
2020-06-01,2607
2020-06-02,2607
2020-06-03,2607
2020-06-04,2607
2020-06-05,2607
2020-06-06,2607
2020-06-07,2607
2020-06-08,2607
2020-06-09,2607
2020-06-10,2607
2020-06-11,2607
2020-06-12,2608
2020-06-13,2608
2020-06-14,2608
2020-06-15,2608
2020-06-16,2608
2020-06-17,2608
2020-06-18,2608
2020-06-20,2608
2020-06-21,2608
2020-06-22,2608
2020-06-23,2608
2020-06-24,2608
2020-06-25,2608
2020-06-26,2608
2020-06-27,2610
2020-06-28,2610
2020-06-29,2610
2020-06-30,2610
2020-07-01,2612
2020-07-02,2612
2020-07-03,2612
2020-07-04,2612
2020-07-05,2611
2020-07-06,2611
2020-07-07,2611
2020-07-08,2610
2020-07-09,2610
2020-07-10,2610
2020-07-11,2610
2020-07-12,2610
2020-07-13,2610
2020-07-14,2610
2020-07-15,2611
2020-07-16,2633
2020-07-17,2639
2020-07-18,2639
2020-07-19,2640
