date,count
2020-05-05,4070
2020-05-06,4073
2020-05-07,4072
2020-05-08,4318
2020-05-09,4375
2020-05-10,4377
2020-05-11,4380
2020-05-12,4575
2020-05-13,4586
2020-05-14,4593
2020-05-15,4591
2020-05-16,4602
2020-05-17,4604
2020-05-18,4606
2020-05-19,4632
2020-05-20,4800
2020-05-21,4942
2020-05-22,4944
2020-05-23,4944
2020-05-24,4944
2020-05-25,4947
2020-05-26,4947
2020-05-27,4950
2020-05-28,4981
2020-05-29,4986
2020-05-30,5127
2020-05-31,5127
2020-06-01,5143
2020-06-02,5165
2020-06-03,5176
2020-06-04,5247
2020-06-05,5329
2020-06-06,5351
2020-06-07,5373
2020-06-08,5390
2020-06-09,5400
2020-06-10,5411
2020-06-11,5428
2020-06-12,5447
2020-06-13,5456
2020-06-14,5464
2020-06-15,5465
2020-06-16,5469
2020-06-17,5469
2020-06-18,5470
2020-06-20,5473
2020-06-21,5473
2020-06-22,5473
2020-06-23,5473
2020-06-24,5511
2020-06-25,5527
2020-06-26,5620
2020-06-27,5624
2020-06-28,5626
2020-06-29,5631
2020-06-30,5631
2020-07-01,5631
2020-07-02,5643
2020-07-03,5657
2020-07-04,5657
2020-07-05,5671
2020-07-06,5671
2020-07-07,5671
2020-07-08,5671
2020-07-09,5671
2020-07-10,5673
2020-07-11,5694
2020-07-12,5694
2020-07-13,5696
2020-07-14,5713
2020-07-15,5713
2020-07-16,5890
2020-07-17,5914
2020-07-18,6002
2020-07-19,6002
2020-07-20,6002
2020-07-21,6009
2020-07-22,6066
