syriaca_place,pleiades_place
http://syriaca.org/place/844,http://pleiades.stoa.org/places/79436
http://syriaca.org/place/592,http://pleiades.stoa.org/places/1052
http://syriaca.org/place/701,http://pleiades.stoa.org/places/79574
http://syriaca.org/place/14,http://pleiades.stoa.org/places/678010
http://syriaca.org/place/203,http://pleiades.stoa.org/places/668394
http://syriaca.org/place/41,http://pleiades.stoa.org/places/893952
http://syriaca.org/place/714,http://pleiades.stoa.org/places/707498
http://syriaca.org/place/326,http://pleiades.stoa.org/places/662169/
http://syriaca.org/place/1460,http://pleiades.stoa.org/places/981542
http://syriaca.org/place/624,http://pleiades.stoa.org/places/844926
http://syriaca.org/place/384,http://pleiades.stoa.org/places/874578
http://syriaca.org/place/9,http://pleiades.stoa.org/places/658378
http://syriaca.org/place/1458,http://pleiades.stoa.org/places/216927
http://syriaca.org/place/124,http://pleiades.stoa.org/places/981534
http://syriaca.org/place/94,http://pleiades.stoa.org/places/658568
http://syriaca.org/place/94,http://pleiades.stoa.org/places/658574
http://syriaca.org/place/143,http://pleiades.stoa.org/places/678085
http://syriaca.org/place/44,http://pleiades.stoa.org/places/912821
http://syriaca.org/place/456,http://pleiades.stoa.org/places/687903
http://syriaca.org/place/1478,http://pleiades.stoa.org/places/550696
http://syriaca.org/place/46,http://pleiades.stoa.org/places/678060
http://syriaca.org/place/60,http://pleiades.stoa.org/places/629035
http://syriaca.org/place/4,http://pleiades.stoa.org/places/874686
http://syriaca.org/place/411,http://pleiades.stoa.org/places/668362
http://syriaca.org/place/214,http://pleiades.stoa.org/places/678041
http://syriaca.org/place/356,http://pleiades.stoa.org/places/668402
http://syriaca.org/place/92,http://pleiades.stoa.org/places/874664
http://syriaca.org/place/440,http://pleiades.stoa.org/places/648647
http://syriaca.org/place/290,http://pleiades.stoa.org/places/619164
http://syriaca.org/place/292,http://pleiades.stoa.org/places/857018
http://syriaca.org/place/466,http://pleiades.stoa.org/places/857177
http://syriaca.org/place/181,http://pleiades.stoa.org/places/648628
http://syriaca.org/place/284,http://pleiades.stoa.org/places/874467
http://syriaca.org/place/360,http://pleiades.stoa.org/places/727108
http://syriaca.org/place/398,http://pleiades.stoa.org/places/658527
http://syriaca.org/place/1508,http://pleiades.stoa.org/places/687854
http://syriaca.org/place/1476,http://pleiades.stoa.org/places/550822
http://syriaca.org/place/1475,http://pleiades.stoa.org/places/648786
http://syriaca.org/place/180,http://pleiades.stoa.org/places/678378
http://syriaca.org/place/118,http://pleiades.stoa.org/places/668290
http://syriaca.org/place/525,http://pleiades.stoa.org/places/981544
http://syriaca.org/place/75,http://pleiades.stoa.org/places/658455
http://syriaca.org/place/89,http://pleiades.stoa.org/places/658474
http://syriaca.org/place/1477,http://pleiades.stoa.org/places/648707
http://syriaca.org/place/211,http://pleiades.stoa.org/places/894043
http://syriaca.org/place/1467,http://pleiades.stoa.org/places/727256
http://syriaca.org/place/1471,http://pleiades.stoa.org/places/668190
