accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1956.003,,Oct,0.494,0.538,0.6343612334801763,0.6463184392699811,494,538,1008,1027
1956.003,,zỐ,0.545,0.57,0.6343612334801763,0.6463184392699811,545,570,1008,1027
1956.003,,701,0.577,0.611,0.6343612334801763,0.6463184392699811,577,611,1008,1027
1956.003,,Ꭻ,0.358,0.37,0.6828193832599119,0.7218376337319069,358,370,1085,1147
1956.003,,Ꮨ,0.399,0.411,0.6847073631214601,0.723725613593455,399,411,1088,1150
1956.003,,Ꮇ,0.447,0.459,0.6872246696035242,0.7262429200755192,447,459,1092,1154
1956.003,,þ,0.471,0.483,0.6884833228445564,0.7275015733165513,471,483,1094,1156
1956.003,,ᏙᎻ,0.512,0.565,0.6910006293266205,0.7325361862806796,512,565,1098,1164
1956.003,,RIGHT,0.771,0.879,0.10446821900566394,0.2146003775959723,771,879,166,341
1956.003,,NHOI,0.646,0.795,0.6891126494650723,0.657016991818754,646,795,1095,1044
1956.003,,FATHER,0.957,0.926,0.302076777847703,0.4543738200125865,957,926,480,722
1956.003,,His,0.1,0.191,0.8093140339836375,0.8407803650094399,100,191,1286,1336
1956.003,,face,0.21,0.291,0.8099433606041535,0.8414096916299559,210,291,1287,1337
1956.003,,this,0.308,0.376,0.8105726872246696,0.842039018250472,308,376,1288,1338
1956.003,,Icon,0.388,0.478,0.8112020138451856,0.8426683448709881,388,478,1289,1339
1956.003,,shemes,0.493,0.624,0.8118313404657017,0.8432976714915041,493,624,1290,1340
1956.003,,",",0.621,0.631,0.8130899937067338,0.8432976714915041,621,631,1292,1340
1956.003,,his,0.642,0.693,0.8130899937067338,0.8445563247325362,642,693,1292,1342
1956.003,,pious,0.707,0.816,0.8137193203272498,0.8445563247325362,707,816,1293,1342
1956.003,,wit,0.84,0.908,0.8143486469477659,0.8458149779735683,840,908,1294,1344
1956.003,,These,0.073,0.164,0.8414096916299559,0.8735053492762744,73,164,1337,1388
