accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1956.001,Animal,0.67076814,0.4811543,0.9380495,0.02705799,0.43606842,885,1726,27,436
1956.001,Animal,0.61128485,0.036360085,0.38396433,0.62003005,0.896394,67,706,620,896
1956.002,Flower,0.63383573,0.35919204,0.5169288,0.4283254,0.53613776,359,517,583,730
1956.003,Clothing,0.7544965,0.17311461,0.833518,0.26518205,0.6004871,173,834,421,954
1956.003,Person,0.6645624,0.1657394,0.8404042,0.21804415,0.6108483,166,840,346,971
1956.003,Picture frame,0.6487255,0.0076874644,0.986177,0.021338271,0.7719055,8,986,34,1227
1956.006,Animal,0.61146253,0.701757,0.83312553,0.326301,0.48107567,306,363,119,176
1956.006,Painting,0.5580672,0.0054002074,0.9961806,0.009413876,0.98510486,2,434,3,360
1956.007,Picture frame,0.59128094,0.037416633,0.95737547,0.033381417,0.9648623,37,957,44,1268
1956.008,Person,0.7882222,0.16141503,0.79685277,0.02853498,0.9606612,48,235,13,443
1956.009,Person,0.82263345,0.23269753,0.7758889,0.060747772,0.87993205,63,211,25,358
1956.009,Painting,0.57315725,0.09876359,0.8869087,0.01824036,0.94647986,27,241,7,385
1956.009,Hat,0.51464385,0.45126322,0.63715714,0.05420436,0.14553088,123,173,22,59
1956.010,Hat,0.8384502,0.35893142,0.6343997,0.013811543,0.20214503,172,304,10,149
1956.010,Person,0.8019128,0.20022695,0.7817717,0.034968358,0.9663293,96,374,26,712
1956.010,Animal,0.7974192,0.6281502,0.93057966,0.7415731,0.95731026,301,446,547,706
1956.010,Clothing,0.6305147,0.2169606,0.71682715,0.12102125,0.8787355,104,343,89,648
1956.010,Footwear,0.56178963,0.3853185,0.5314237,0.8911616,0.9739065,185,255,657,718
1956.011,Person,0.75666595,0.07187723,0.821425,0.04332204,0.96494,21,236,19,420
1956.011,Footwear,0.62977386,0.532073,0.64679116,0.87133193,0.98362535,153,186,379,428
1956.011,Footwear,0.5497783,0.35167634,0.5109648,0.8623702,0.94565725,101,147,375,411
1956.011,Footwear,0.5136037,0.40624723,0.569461,0.8934818,0.96982366,117,163,389,422
1956.012,Animal,0.7740438,0.12764992,0.32294214,0.50352114,0.7362807,130,329,387,565
1956.012,Person,0.7592429,0.29328048,0.6744736,0.08917197,0.8859186,299,687,68,680
1956.012,Animal,0.70643616,0.064499155,0.13646622,0.48869345,0.7113809,66,139,375,546
1956.012,Animal,0.69851875,0.17892633,0.3803217,0.6071711,0.8542514,182,388,466,656
1956.012,Animal,0.647411,0.2963557,0.6623001,0.12738255,0.8875145,302,675,98,682
1956.012,Animal,0.6263258,0.089351095,0.30243787,0.3428268,0.60191995,91,308,263,462
1956.012,Person,0.6087874,0.56497914,0.9218054,0.34765244,0.8892364,576,939,267,683
1956.012,Footwear,0.55513906,0.42919126,0.5137267,0.7865049,0.9115367,437,523,604,700
1956.013,Person,0.80452627,0.3192716,0.63594645,0.1976822,0.88105136,346,690,160,714
1956.013,Animal,0.79246414,0.5813787,0.7888894,0.68357116,0.857728,631,856,554,695
1956.013,Animal,0.70791346,0.7340196,0.9158775,0.56376094,0.8085122,796,994,457,655
1956.013,Animal,0.6400633,0.60917777,0.74380475,0.5585204,0.6987427,661,807,452,566
1956.013,Animal,0.6150164,0.673024,0.76940745,0.47029147,0.5870276,730,835,381,475
1956.013,Animal,0.6014176,0.20606674,0.49905908,0.69264346,0.8890095,224,541,561,720
1956.013,Animal,0.5777888,0.75273293,0.87853163,0.38823542,0.53964305,817,953,314,437
1956.014,Person,0.7222869,0.3107795,0.6617628,0.17381626,0.9028852,328,698,136,704
