title,metadataStatus,ingestStatus,status,project,sqlVolume,libServerDirectory,primaryIslandoraLocation,secondaryIslandoraLocation,pid,essss,images,ingestDate,latestMetadataUpdate,modified,lastModifiedBadFormat,notes
"[Batismos de escravos avulsos, 1750]",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\006 - Batismo de Escravos 1750,ESSSS/Brazil/Rio de Janeiro/Freguesias Não Identificadas,,essss:45812,45812,9,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Batismo de Escravos, 1681-1689",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\007 - Batismo de Escravos 1681 - 1689,ESSSS/Brazil/Rio de Janeiro/Campos dos Goytacazes/Igreja de São Francisco de Assis,,essss:45813,45813,15,09/27/17,01/20/18,2018-01-20T00:00:00Z,01/20/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Óbitos de escravos avulsos, 1698-1721]",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\008 - Obito de Escravos 1695 - 1716,ESSSS/Brazil/Rio de Janeiro/Araruama/Capela de Nossa Senhora do Cabo da Fazenda Parati,,essss:45814,45814,7,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Índice de casamentos, I",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\009 - Indice de Casamento 1,ESSSS/Brazil/Rio de Janeiro/Freguesias Não Identificadas,,essss:45851,45851,3,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Índice de casamentos, II",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\010 - Indice de Casamento 2,ESSSS/Brazil/Rio de Janeiro/Freguesias Não Identificadas,,essss:45852,45852,21,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Fragmento de livro de batismos de livres, 1851]",Metadata in spreadsheet,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\011 - Batismo de Livres 1851,ESSSS/Brazil/Rio de Janeiro/Rio Claro/Nossa Senhora da Conceição do Passa Três,,essss:45853,45853,19,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Fragmento de livro de batismos de índios, escravos, e livres, 1841]",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,"\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\012 - Batismo de Indios, Escravos e Livres 1841",ESSSS/Brazil/Rio de Janeiro/Freguesias Não Identificadas,,essss:45854,45854,15,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de batismos de indios, escravos, forros e livres, 1842-1844",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,"\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\013 - Batismo de Indios, Escravos, Forros e Livres 1842 - 1844",ESSSS/Brazil/Rio de Janeiro/Freguesias Não Identificadas,,essss:45913,45913,55,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Livro de Batismos Mistos, 1846-1851]",Metadata uploaded,Ingested,Ingested with no/minimal metadata,NEH,,"\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\014 - Batismo de Escravos, Forros e Livres 1846 - 1851",ESSSS/Brazil/Rio de Janeiro/Freguesias Não Identificadas,,essss:45969,45969,48,09/27/17,02/05/18,2018-02-05T00:00:00Z,02/05/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de óbitos de escravos, forros, e livres, 1867-1895",Metadata in spreadsheet,Ingested,Ingested with no/minimal metadata,NEH,,"\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Freguesias Nao Identificadas\015 - Obito de Escravos, Forros e Livres 1869 - 1894",ESSSS/Brazil/Rio de Janeiro/Freguesias Não Identificadas,,essss:45970,45970,91,09/27/17,,2017-09-27T00:00:00Z,09/27/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
