wikidataId,doi,title
Q64124033,10.1371/JOURNAL.PBIO.3000255,Extensive loss of cell-cycle and DNA repair genes in an ancient lineage of bipolar budding yeasts
Q61000827,10.1177/003463730610300109,"""To all the Gentiles"": a Jewish perspective on the Great Commission"
