wikidataId,orcidP90468,labelEn,givenNameString,familyNameString,affiliationP95220,fieldOfWorkP128,description,notes
Q210471,0000-0002-7248-6551,,Antonis,Rokas,Q210476,Q210475,researcher,BSCI department faculty (multiple appointments)
Q210472,0000-0003-0328-0792,Clifford B. Anderson,Clifford,Anderson,Q210477,,American librarian and professor of religious studies,"library, does not follow college departmental structure"
Q210473,,Amy-Jill Levine,Amy-Jill,Levine,Q210478,,American academic,"has multiple appointments (primary appointment in Div School with no depts, CAS Jewish Study department)"
Q210474,0000-0002-0965-2297,Brandt F Eichman,Brandt,Eichman,Q210476,Q210475,researcher,BSCI department faculty (multiple appointments)
