qid,searched,matches,after_work_by,school_of,workshop_of,last_first,description,name,creator_string
Q1488149,yes,yes,,,,"Applebroog, Ida","American painter and sculptor, born 1929",Ida Applebroog,"[""Applebroog, Ida (American painter and sculptor, born 1929)""]"
Q56682344,yes,yes,,,,"Aquila, Francesco Faraone","Italian printmaker and engraver, ca. 1676 - ca. 1740",Francesco Faraone Aquila,"[""Aquila, Francesco Faraone (Italian printmaker and engraver, ca. 1676 - ca. 1740)""]"
,yes,no,,,,"Aramesco, Gigi","born Galatz, Romania",Gigi Aramesco,"[""Aramesco, Gigi (born Galatz, Romania)""]"
Q157578,yes,yes,,,,"Archipenko, Alexander","Ukrainian sculptor, 1887-1964, active in France and the United States",Alexander Archipenko,"[""Archipenko, Alexander (Ukrainian sculptor, 1887-1964, active in France and the United States)""]"
Q8353580,yes,no,,,,"Argimón Granell, Daniel","Spanish painter, born 1929",Daniel Argimón Granell,"[""Argimón Granell, Daniel (Spanish painter, born 1929)""]"
Q2591295,yes,yes,,,,"Arikha, Avigdor","Israeli painter, printmaker, and art historian, 1929-2010, active in France",Avigdor Arikha,"[""Arikha, Avigdor (Israeli painter, printmaker, and art historian, 1929-2010, active in France)""]"
Q13426817,yes,yes,,,,"Armengol, Rafael","Spanish painter and printmaker, born 1940",Rafael Armengol,"[""Armengol, Rafael (Spanish painter and printmaker, born 1940)""]"
Q21481715,yes,yes,,,,"Armin, Emil","American painter, graphic artist, and illustrator, 1883-1971",Emil Armin,"[""Armin, Emil (American painter, graphic artist, and illustrator, 1883-1971)""]"
Q80077266,yes,yes,,,,"Arms, John Taylor","American printmaker, 1887-1953",John Taylor Arms,"[""Arms, John Taylor (American printmaker, 1887-1953)""]"
Q153739,yes,yes,,,,"Arp, Hans","French sculptor, painter, and collagist, 1886-1966",Hans Arp,"[""Arp, Hans (French sculptor, painter, and collagist, 1886-1966)""]"
Q53544284,yes,yes,,,,"Artigau, Francesc","Spanish painter and printmaker, born 1940",Francesc Artigau,"[""Artigau, Francesc (Spanish painter and printmaker, born 1940)""]"
Q19668052,yes,yes,,,,"Ashe, Edmund M.","American painter, illustrator, and teacher, 1867-1941",Edmund M. Ashe,"[""Ashe, Edmund M. (American painter, illustrator, and teacher, 1867-1941)""]"
Q470846,yes,yes,,,,"Aspertini, Amico","Italian painter, sculptor, and illuminator, born 1474 or 1475, died 1552",Amico Aspertini,"[""Aspertini, Amico (Italian painter, sculptor, and illuminator, born 1474 or 1475, died 1552)""]"
Q21288694,yes,yes,,,,"Atkinson, Conrad","British printmaker, born 1940",Conrad Atkinson,"[""Atkinson, Conrad (British printmaker, born 1940)""]"
Q47509394,yes,yes,,,,"Audubon, John James","American painter and naturalist, 1785-1851",John James Audubon,"[""Audubon, John James (American painter and naturalist, 1785-1851)""]"
Q64630219,yes,yes,,,,"Avery, Milton","American painter, 1885 or 1893-1965",Milton Avery,"[""Avery, Milton (American painter, 1885 or 1893-1965)""]"
,yes,yes,,,,"Axelrod, H.",,H. Axelrod,"[""Axelrod, H.""]"
Q11578726,yes,no,,,,"Azechi, Umetarō","Japanese woodcutter and graphic artist, 1902-1999",Umetarō Azechi,"[""Azechi, Umetarō (Japanese woodcutter and graphic artist, 1902-1999)""]"
,yes,no,,,,"Bach, R.",,R. Bach,"[""Bach, R.""]"
Q18511902,yes,yes,,,,"Bacher, Otto Henry","American painter, etcher, and illustrator, 1856-1909",Otto Henry Bacher,"[""Bacher, Otto Henry (American painter, etcher, and illustrator, 1856-1909)""]"
Q16831391,yes,yes,,,,"Badur, Frank","German painter and printmaker, born 1944",Frank Badur,"[""Badur, Frank (German painter and printmaker, born 1944)""]"
Q34136,yes,yes,,,,"Bailey, Vernon Howe","American illustrator and draftsman, 1874-1953",Vernon Howe Bailey,"[""Bailey, Vernon Howe (American illustrator and draftsman, 1874-1953)""]"
,yes,no,,,,Baisetsudo,1751-1764,Baisetsudo,"[""Baisetsudo (1751-1764)""]"
Q47508828,yes,yes,,,,"Baker, Bryant","American sculptor, 1881-1970",Bryant Baker,"[""Baker, Bryant (American sculptor, 1881-1970)""]"
Q99671840,yes,no,,,,"Balagueró, Jose Luis","1930-, born Zaragoza, Spain",Jose Luis Balagueró,"[""Balagueró, Jose Luis (1930-, born Zaragoza, Spain)""]"
Q20199349,yes,yes,,,,"Baldung, Hans","German painter, born 1484 or 1485, died 1545",Hans Baldung,"[""Baldung, Hans (German painter, born 1484 or 1485, died 1545)""]"
