qid,searched,matches,after_work_by,school_of,workshop_of,last_first,description,name,creator_string
Q1818533,yes,yes,,,,"Delitz, Leo","Austrian artist, 1882-1966",Leo Delitz,"[""Delitz, Leo (Austrian artist, 1882-1966)""]"
Q921242,yes,yes,,,,"Della Bella, Stefano","Italian engraver and draftsman, 1610-1664",Stefano Della Bella,"[""Della Bella, Stefano (Italian engraver and draftsman, 1610-1664)""]"
Q86449502,yes,yes,,,,"DeMay, Susan",1952-,Susan DeMay,"[""DeMay, Susan"",""DeMay, Susan (1952-)""]"
Q440369,yes,yes,,,,"Denis, Maurice","French painter and author, 1870-1943",Maurice Denis,"[""Denis, Maurice (French painter and author, 1870-1943)""]"
,yes,no,,,,"Dennis, W.",,W. Dennis,"[""Dennis, W.""]"
Q156272,yes,no,,,,"Derain, André","French painter, printmaker, and sculptor, 1880-1954",André Derain,"[""Derain, André (French painter, printmaker, and sculptor, 1880-1954)""]"
Q82291,yes,yes,,,,"Despiau, Charles and Montherlant, Henri de","1874-1946, 1895-1972",Charles Despiau,"[""Despiau, Charles and Montherlant, Henri de (1874-1946, 1895-1972)""]"
Q30019620,yes,yes,,,,"Deuchar, David","Scottish engraver, 1743-1808",David Deuchar,"[""Deuchar, David (Scottish engraver, 1743-1808)""]"
Q98764250,yes,yes,,,,"Devereux, Richard","1956-, born Lincolnshire, England",Richard Devereux,"[""Devereux, Richard (1956-, born Lincolnshire, England)""]"
Q567421,yes,yes,,,,"Di Suvero, Mark","American sculptor, born 1933",Mark Di Suvero,"[""Di Suvero, Mark (American sculptor, born 1933)""]"
Q1281597,yes,yes,,,,"Diebenkorn, Richard","American painter, 1922-1993",Richard Diebenkorn,"[""Diebenkorn, Richard (American painter, 1922-1993)""]"
Q6530475,yes,yes,,,,"Dill, Lesley","American sculptor, born 1950",Lesley Dill,"[""Dill, Lesley (American sculptor, born 1950)""]"
Q531234,yes,yes,,,,"Dine, Jim","American painter, sculptor, and printmaker, born 1935",Jim Dine,"[""Dine, Jim (American painter, sculptor, and printmaker, born 1935)"",""Dine, Jim and O'Hara, Frank""]"
,yes,no,,,,Docenud,,Docenud,"[""Docenud""]"
,yes,yes,,,,Donovan,,Donovan,"[""Donovan""]"
,yes,yes,,,,"Dooley, Tim and Wilson, Aaron","1967-, 1972-, born Miami, FL; Xenia, OH",Tim Dooley,"[""Dooley, Tim and Wilson, Aaron  (1967-, 1972-, born Miami, FL; Xenia, OH)"",""Dooley, Tim and Wilson, Aaron (1967-, 1972-, born Miami, FL; Xenia, OH)""]"
Q6682,yes,yes,,,,"Dore, Gustave and Turner, C.Y.",,Gustave Dore,"[""Dore, Gustave and Turner, C.Y.""]"
Q60743508,yes,yes,,,,"Downing, Joe","American painter, born 1925",Joe Downing,"[""Downing, Joe (American painter, born 1925)""]"
Q5624550,yes,yes,,,,"Drevet, Pierre","French engraver, 1663-1738",Pierre Drevet,"[""Drevet, Pierre (French engraver, 1663-1738)"",""Drevet, Pierre (1663-1738) and de Iode, Arnoldus (1638-1667)""]"
Q47513332,yes,yes,,,,"Driskell, David Clyde","American painter, born 1931",David Clyde Driskell,"[""Driskell, David Clyde (American painter, born 1931)""]"
,yes,no,,,,"Drosd, F.",,F. Drosd,"[""Drosd, F.""]"
Q2495654,yes,yes,,,,"Drury, Chris","British installation and assemblage artist, born 1948 in Sri Lanka",Chris Drury,"[""Drury, Chris (British installation and assemblage artist, born 1948 in Sri Lanka)""]"
Q170076,yes,yes,,,,"Dubuffet, Jean","French painter, sculptor, printmaker, 1901-1985",Jean Dubuffet,"[""Dubuffet, Jean (French painter, sculptor, printmaker, 1901-1985)""]"
Q18123317,yes,yes,,,,"Duclos, Antoine-Jean","French engraver and etcher, 1742-1795",Antoine-Jean Duclos,"[""Duclos, Antoine-Jean (French engraver and etcher, 1742-1795)""]"
Q822388,yes,yes,,,,"Dufour, Bernard","French painter, born 1922",Bernard Dufour,"[""Dufour, Bernard (French painter, born 1922)""]"
Q64856656,yes,yes,,,,"Dujardin, Karel","Dutch painter and printmaker, 1626-1678",Karel Dujardin,"[""Dujardin, Karel (Dutch painter and printmaker, 1626-1678)""]"
Q28854657,yes,yes,,,,"Dulac, Charles Marie","French painter and lithographer, 1865-1898",Charles Marie Dulac,"[""Dulac, Charles Marie (French painter and lithographer, 1865-1898)""]"
Q61714992,yes,yes,,,,"Dunn, Harvey T.","American illustrator, 1884-1952",Harvey T. Dunn,"[""Dunn, Harvey T. (American illustrator, 1884-1952)""]"
,yes,no,,,,"Dunson, Samuel L. Jr.","1970-, born Dayton, OH","Samuel L. Dunson, Jr.","[""Dunson, Samuel L. Jr. (1970-, born Dayton, OH)""]"
Q959212,yes,no,,,,"Dupré, Jules","French painter and printmaker, 1811-1889",Jules Dupré,"[""Dupré, Jules (French painter and printmaker, 1811-1889)""]"
Q7407437,yes,yes,,,,"Durant, Sam","American sculptor, installation artist, and draftsman, born 1961",Sam Durant,"[""Durant, Sam (American sculptor, installation artist, and draftsman, born 1961)""]"
Q5580,yes,no,,,,"Dürer, Albrecht",1471-1528,Albrecht Dürer,"[""Dürer, Albrecht (1471-1528)"",""Dürer, Albrecht (German printmaker and painter, 1471-1528)""]"
,yes,no,,,,"Duret, A.",,A. Duret,"[""Duret, A.""]"
Q1133546,yes,yes,,,,"Dusart, Cornelis","Dutch painter and printmaker, 1660-1704",Cornelis Dusart,"[""Dusart, Cornelis (Dutch painter and printmaker, 1660-1704)""]"
Q18150137,yes,yes,,,,"Dwight, Mabel","American printmaker, 1876-1955",Mabel Dwight,"[""Dwight, Mabel (American printmaker, 1876-1955)""]"
Q9250846,yes,yes,,,,"Dwurnik, Edward","Polish painter, draftsman, and sculptor, born 1943",Edward Dwurnik,"[""Dwurnik, Edward (Polish painter, draftsman, and sculptor, born 1943)""]"
,yes,no,,,,"Dzubas, Wilhelm",1877-1947,Wilhelm Dzubas,"[""Dzubas, Wilhelm (1877-1947)""]"
Q7287448,yes,yes,,,,"Earl, Ralph Eleaser Whiteside","American painter, born 1785-1788, died 1838",Ralph Eleaser Whiteside Earl,"[""Earl, Ralph Eleaser Whiteside (American painter, born 1785-1788, died 1838)""]"
Q2360939,yes,yes,,,,"Earlom, Richard","English printmaker, 1743-1822",Richard Earlom,"[""Earlom, Richard (English printmaker, 1743-1822)""]"
Q77325168,yes,yes,,,,"Eckstein, Ruth","1916-2011, born Nuremberg, Germany, died Newton, MA",Ruth Eckstein,"[""Eckstein, Ruth (1916-2011, born Nuremberg, Germany, died Newton, MA)""]"
,yes,yes,,,,"Egan, Matt, Muise, Heather","1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada",Matt Egan,"[""Egan, Matt, Muise, Heather (1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada)""]"
Q1480173,yes,yes,,,,"Ehrlich, Georg","British sculptor, painter, and illustrator, 1897-1966",Georg Ehrlich,"[""Ehrlich, Georg (British sculptor, painter, and illustrator, 1897-1966)""]"
Q2605345,yes,yes,,,,"Eichenberg, Fritz","American illustrator, printmaker, and engraver, 1901-1990",Fritz Eichenberg,"[""Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"",""Eichenberg, Fritz (1901-1990, born Cologne, Germany, died Peace Dale, RI)""]"
Q6687104,yes,yes,,,,"Eilshemius, Louis Michel","American painter and illustrator, 1864-1941",Louis Michel Eilshemius,"[""Eilshemius, Louis Michel (American painter and illustrator, 1864-1941)""]"
,yes,yes,,,,"Ellis, Frank E.",,Frank E. Ellis,"[""Ellis, Frank E.""]"
,yes,no,,,,"Ellsworth, Young","American painter, 1866-1952",Young Ellsworth,"[""Ellsworth, Young (American painter, 1866-1952)""]"
,yes,no,,,,"Elrod, Joel","1967-, born Omaha, NE",Joel Elrod,"[""Elrod, Joel (1967-, born Omaha, NE)""]"
Q96749882,yes,yes,,,,"Erlanger, Elizabeth N.","American painter, 1901-1975",Elizabeth N. Erlanger,"[""Erlanger, Elizabeth N. (American painter, 1901-1975)""]"
,yes,yes,,,,Ernst,,Ernst,"[""Ernst""]"
Q72967120,yes,yes,,,,"Esman, Betty",,Betty Esman,"[""Esman, Betty""]"
,yes,no,,,,"Estellido, Comp",,Comp Estellido,"[""Estellido, Comp""]"
Q539036,yes,yes,,,,"Everdingen, Allart van","Dutch landscapist and marine painter, 1621-1675",Allart van Everdingen,"[""Everdingen, Allart van (Dutch landscapist and marine painter, 1621-1675)""]"
Q23310132,yes,yes,,,,"Evertz, Gabriele",,Gabriele Evertz,"[""Evertz, Gabriele"",""Evertz, Gabriele (1945-, born Berlin, Germany)""]"
Q2847732,yes,yes,,,,"Evrard, Andre","1936-, born La Chaux-de-fonds, Switzerland",Andre Evrard,"[""Evrard, Andre (1936-, born La Chaux-de-fonds, Switzerland)""]"
Q19302017,yes,yes,,,,"Faber, Will","German painter, stained glass artist, 1901-1987",Will Faber,"[""Faber, Will (German painter, stained glass artist, 1901-1987)""]"
Q8008915,yes,yes,,,,"Faithorne, William, the elder","English engraver and author, ca. 1616-1691",William Faithorne the elder,"[""Faithorne, William, the elder (English engraver and author, ca. 1616-1691)""]"
Q27493848,yes,yes,,,,"Faldoni, Gianantonio","Italian engraver, 1690-1770",Gianantonio Faldoni,"[""Faldoni, Gianantonio (Italian engraver, 1690-1770)""]"
Q5077591,yes,yes,,,,"Falls, Charles Buckles","American illustrator and graphic artist, 1874-1959",Charles Buckles Falls,"[""Falls, Charles Buckles (American illustrator and graphic artist, 1874-1959)"",""Falls, Charles Buckles (American illustrator, graphic artist, and commercial artist, 1874-1959)""]"
,yes,no,,,,"Fandos, Manuel",,Manuel Fandos,"[""Fandos, Manuel""]"
Q310715,yes,yes,,,,"Fantin-Latour, Henri","French painter and printmaker, 1836-1904",Henri Fantin-Latour,"[""Fantin-Latour, Henri (French painter and printmaker, 1836-1904)""]"
Q75597332,yes,yes,,,,"Farrer, Henry","American painter, 1843-1903",Henry Farrer,"[""Farrer, Henry (American painter, 1843-1903)""]"
,yes,no,,,,"Fatiquant, R.",,R. Fatiquant,"[""Fatiquant, R.""]"
Q43899608,yes,yes,,,,"Faucci, Carlo","Italian printmaker, 1729-ca.1784",Carlo Faucci,"[""Faucci, Carlo (Italian printmaker, 1729-ca.1784)""]"
Q4759891,yes,no,,,,"Fauteux, André Lucien","Canadian sculptor, born 1946",André Lucien Fauteux,"[""Fauteux, André Lucien (Canadian sculptor, born 1946)""]"
Q472646,yes,yes,,,,"Fazzini, Pericle","Italian painter and sculptor, 1913-1987",Pericle Fazzini,"[""Fazzini, Pericle (Italian painter and sculptor, 1913-1987)""]"
Q158255,yes,yes,,,,"Feininger, Lyonel","German painter, illustrator, and teacher, 1871-1956, active in Germany and America",Lyonel Feininger,"[""Feininger, Lyonel (German painter, illustrator, and teacher, 1871-1956, active in Germany and America)""]"
Q693095,yes,no,,,,"Felixmüller, Conrad","German painter and printmaker, 1897-1977",Conrad Felixmüller,"[""Felixmüller, Conrad (German painter and printmaker, 1897-1977)""]"
Q23829587,yes,yes,,,,"Feoli, Vincenzo","Italian copper engraver and draftsman, ca. 1760-1827",Vincenzo Feoli,"[""Feoli, Vincenzo (Italian copper engraver and draftsman, ca. 1760-1827)""]"
Q11821277,yes,yes,,,,"Ferrato, Donna","American photographer, born 1949",Donna Ferrato,"[""Ferrato, Donna (American photographer, born 1949)""]"
Q19730649,yes,yes,,,,"Ferris, Stephen James","American painter and engraver, 1835-after 1881",Stephen James Ferris,"[""Ferris, Stephen James (American painter and engraver, 1835-after 1881)""]"
Q781120,yes,yes,,,,"Feyen-Perrin, Auguste","French painter, 1826-1888",Auguste Feyen-Perrin,"[""Feyen-Perrin, Auguste (French painter, 1826-1888)""]"
Q1710844,yes,yes,,,,"Fine, Jud","American sculptor, born 1944",Jud Fine,"[""Fine, Jud (American sculptor, born 1944)""]"
Q464011,yes,yes,,,,"Fini, Leonor","French painter and scenographer, 1908-1996",Leonor Fini,"[""Fini, Leonor (French painter and scenographer, 1908-1996)""]"
Q89962122,yes,yes,,,,"Fink, Herbert L.",1921-2006,Herbert L. Fink,"[""Fink, Herbert L. (1921-2006)""]"
Q567547,yes,yes,,,,"Finlay, Ian Hamilton","Scottish sculptor, graphic artist, and poet, 1925-2006",Ian Hamilton Finlay,"[""Finlay, Ian Hamilton (Scottish sculptor, graphic artist, and poet, 1925-2006)"",""Finlay, Ian Hamilton and Boulton, Janet (1925-2006, 1936-)"",""Finlay, Ian Hamilton and Wieg, Cornelia (1925-2006, 1935-, born Nassau, Bahamas)""]"
Q6369637,yes,yes,,,,"Finley, Karen","American painter, installation artist, and performance artist, born 1956",Karen Finley,"[""Finley, Karen (American painter, installation artist, and performance artist, born 1956)""]"
Q936534,yes,yes,,,,"Fischl, Eric","American painter and sculptor, born 1948",Eric Fischl,"[""Fischl, Eric (American painter and sculptor, born 1948)""]"
,yes,yes,,,,"Fisher, E.",,E. Fisher,"[""Fisher, E.""]"
Q6133916,yes,yes,,,,"Fittler, James","English etcher and engraver, 1758-1835",James Fittler,"[""Fittler, James (English etcher and engraver, 1758-1835)""]"
Q537266,yes,yes,,,,"Flagg, James Montgomery","American illustrator, painter, and author, 1877-1960",James Montgomery Flagg,"[""Flagg, James Montgomery (American illustrator, painter, and author, 1877-1960)"",""Flagg, James Montgomery (1877-1960)""]"
Q3271802,yes,no,,,,"Flameng, Léopold","French painter and engraver, 1831-1911",Léopold Flameng,"[""Flameng, Léopold (French painter and engraver, 1831-1911)""]"
,yes,no,,,,Flasho,,Flasho,"[""Flasho""]"
Q366066,yes,yes,,,,"Flaxman, John","English sculptor, draftsman, and designer, 1755-1826",John Flaxman,"[""Flaxman, John (English sculptor, draftsman, and designer, 1755-1826)""]"
,yes,no,,,,"Florez, Garzon",,Garzon Florez,"[""Florez, Garzon""]"
,yes,yes,,,,"Floris, Marcel",1914-2007,Marcel Floris,"[""Floris, Marcel (1914-2007)""]"
Q447991,yes,yes,,,,"Fontebasso, Francesco","Italian painter and printmaker, 1707-1769",Francesco Fontebasso,"[""Fontebasso, Francesco (Italian painter and printmaker, 1707-1769)""]"
Q719614,yes,yes,,,,"Forain, Jean Louis","French painter, lithographer, and caricaturist, 1852-1931",Jean Louis Forain,"[""Forain, Jean Louis (French painter, lithographer, and caricaturist, 1852-1931)""]"
Q21288650,yes,yes,,,,"Forbes, Charles Stuart","American painter, 1860-1926",Charles Stuart Forbes,"[""Forbes, Charles Stuart (American painter, 1860-1926)""]"
Q3764824,yes,yes,,,,"Fortini, Giovacchino","Italian sculptor, architect, and medalist, 1670-1736",Giovacchino Fortini,"[""Fortini, Giovacchino (Italian sculptor, architect, and medalist, 1670-1736)""]"
,yes,yes,,,,"Foster, Tom",,Tom Foster,"[""Foster, Tom""]"
Q261846,yes,yes,,,,"Foujita, Tsugouharu","French painter, printmaker born in Japan, 1886-1968",Tsugouharu Foujita,"[""Foujita, Tsugouharu (French painter, printmaker born in Japan, 1886-1968)""]"
Q16096991,yes,yes,,,,"Fox, Terry","American video artist and sculptor, born 1943",Terry Fox,"[""Fox, Terry (American video artist and sculptor, born 1943)""]"
Q18686182,yes,yes,,,,"Foxcroft, Lesley","British sculptor, born 1949",Lesley Foxcroft,"[""Foxcroft, Lesley (British sculptor, born 1949)""]"
,yes,yes,,,,Frankenstein,,Frankenstein,"[""Frankenstein""]"
,yes,no,,,,Franz Hansftangl,1804-1877,Franz Hansftangl,"[""Franz Hansftangl (1804-1877)""]"
Q3610506,yes,yes,,,,"Frasconi, Antonio","Uruguayan printmaker, 1919-2013, active in the United States",Antonio Frasconi,"[""Frasconi, Antonio (Uruguayan printmaker, 1919-2013, active in the United States)""]"
Q100741993,yes,yes,,,,"Fraser, John","1952-, born Chicago, IL",John Fraser,"[""Fraser, John (1952-, born Chicago, IL)""]"
,yes,yes,,,,"Frederick, Michael","1966-, born Chabanse, IL",Michael Frederick,"[""Frederick, Michael (1966-, born Chabanse, IL)"",""Frederick, Michael, (1966-, born Chabanse, IL)"",""Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)"",""Frederick, Mike""]"
,yes,yes,,,,"Freeman, Carol Lawton",,Carol Lawton Freeman,"[""Freeman, Carol Lawton""]"
Q13560725,yes,yes,,,,"Frelinghuysen, Suzy","1911-1988, born Newark, NJ, died Lenox, MA",Suzy Frelinghuysen,"[""Frelinghuysen, Suzy (1911-1988, born Newark, NJ, died Lenox, MA)""]"
Q1679017,yes,yes,,,,"Frey, Johann Jakob, I","Swiss draftsmann and printmaker, 1681-1752",Johann Jakob Frey I,"[""Frey, Johann Jakob, I (Swiss draftsmann and printmaker, 1681-1752)""]"
Q46481608,yes,no,,,,"Friedlaender, Hedwig",1810-1861,Hedwig Friedlaender,"[""Friedlaender, Hedwig (1810-1861)"",""Friedlaender, Hedwig""]"
,yes,no,,,,"Fries, Katherine J.",", born Lincoln, NE",Katherine J. Fries,"[""Fries, Katherine J. (, born Lincoln, NE)""]"
,yes,no,,,,"Friesicke, Sabine","1960-, born Hamburg, Germany",Sabine Friesicke,"[""Friesicke, Sabine (1960-, born Hamburg, Germany)""]"
Q2575649,yes,yes,,,,"Frink, Dame Elisabeth","English sculptor and printmaker, 1930-1993",Dame Elisabeth Frink,"[""Frink, Dame Elisabeth (English sculptor and printmaker, 1930-1993)""]"
Q102289,yes,yes,,,,"Fuller, R. Buckminster","American architect and inventor, 1895-1983",R. Buckminster Fuller,"[""Fuller, R. Buckminster (American architect and inventor, 1895-1983)""]"
Q7634090,yes,yes,,,,"Fuller, Sue","American painter, printmaker, and sculptor, born 1914",Sue Fuller,"[""Fuller, Sue (American painter, printmaker, and sculptor, born 1914)""]"
Q325142,yes,yes,,,,"Fulton, Hamish","English photographer and conceptual artist, born 1946",Hamish Fulton,"[""Fulton, Hamish (English photographer and conceptual artist, born 1946)""]"
Q122382,yes,yes,,,,"Fuseli, Henry","Swiss painter, 1741-1825, active in England",Henry Fuseli,"[""Fuseli, Henry (Swiss painter, 1741-1825, active in England)""]"
Q451736,yes,yes,,,,"Gabino, Amadeo","Spanish sculptor, born 1922",Amadeo Gabino,"[""Gabino, Amadeo (Spanish sculptor, born 1922)""]"
Q94684059,yes,yes,,,,"Gall, Sally","American photographer, born 1956",Sally Gall,"[""Gall, Sally (American photographer, born 1956)""]"
Q18206992,yes,yes,,,,"Gallagher, Sears","American painter, illustrator, and graphic artist, 1869-1955",Sears Gallagher,"[""Gallagher, Sears (American painter, illustrator, and graphic artist, 1869-1955)""]"
Q1379395,yes,yes,,,,"Galle, Philip","Flemish draftsman, engraver, and publisher, 1537-1612",Philip Galle,"[""Galle, Philip (Flemish draftsman, engraver, and publisher, 1537-1612)""]"
Q872778,yes,yes,,,,"Galli, Giuseppe","Italian artist, 19th century",Giuseppe Galli,"[""Galli, Giuseppe (Italian artist, 19th century)""]"
Q3301739,yes,yes,,,,"Gandolfi, Mauro","Italian painter and printmaker, 1764-1834",Mauro Gandolfi,"[""Gandolfi, Mauro (Italian painter and printmaker, 1764-1834)""]"
Q20750459,yes,yes,,,,"Ganso, Emil","American painter and printmaker, 1895-1941",Emil Ganso,"[""Ganso, Emil (American painter and printmaker, 1895-1941)""]"
Q3296364,yes,no,,,,"García Uriburu, Nicolás","Argentine painter, architect, and installation artist, born 1937",Nicolás García Uriburu,"[""García Uriburu, Nicolás (Argentine painter, architect, and installation artist, born 1937)""]"
,yes,no,,,,"Garicola, K.",,K. Garicola,"[""Garicola, K.""]"
,yes,no,,,,"Garman, Michael",1938-,Michael Garman,"[""Garman, Michael (1938-)""]"
,yes,yes,,,,"Garret, Alvin",1946-,Alvin Garret,"[""Garret, Alvin (1946-)""]"
,yes,no,,,,"Gastlund, Knud & Sert, Jose Luis",,Knud Gastlund,"[""Gastlund, Knud & Sert, Jose Luis""]"
Q22226795,yes,no,,,,"Gaudez-Chennevierre, Cecile Delphine","French artist, born 1851",Cecile Delphine Gaudez-Chennevierre,"[""Gaudez-Chennevierre, Cecile Delphine (French artist, born 1851)""]"
Q948338,yes,yes,,,,"Gaudez, Adrien Etienne","French sculptor, 1845-1902",Adrien Etienne Gaudez,"[""Gaudez, Adrien Etienne (French sculptor, 1845-1902)""]"
Q926308,yes,yes,,,,"Gaudier-Brzeska, Henri","French sculptor and draftsman, 1891-1915",Henri Gaudier-Brzeska,"[""Gaudier-Brzeska, Henri (French sculptor and draftsman, 1891-1915)""]"
Q51952268,yes,no,,,,"Gaujean, Eugène","French printmaker and illustrator, 1850-1900",Eugène Gaujean,"[""Gaujean, Eugène (French printmaker and illustrator, 1850-1900)""]"
Q5560919,yes,yes,,,,"Gaul, Gilbert","American painter, 1855-1919",Gilbert Gaul,"[""Gaul, Gilbert (American painter, 1855-1919)""]"
Q1074290,yes,yes,,,,"Gavarni, Paul","French printmaker, illustrator, and painter, 1804-1866",Paul Gavarni,"[""Gavarni, Paul (French printmaker, illustrator, and painter, 1804-1866)""]"
Q1710483,yes,no,,,,"Genovés, Juan","Spanish painter, born 1930",Juan Genovés,"[""Genovés, Juan (Spanish painter, born 1930)""]"
,yes,no,,,,"Genter, Karen",,Karen Genter,"[""Genter, Karen""]"
,yes,yes,,,,Georgii-Hemming,,Georgii-Hemming,"[""Georgii-Hemming""]"
,yes,yes,,,,"Gerardia, Helen","Russian-American painter, born 1913",Helen Gerardia,"[""Gerardia, Helen (Russian-American painter, born 1913)""]"
,yes,yes,,,,Gerasch,,Gerasch,"[""Gerasch""]"
Q11697288,yes,yes,,,,"Get-Stankiewicz, Eugeniusz","1942-2011, born Oszmianie, died Wroclawiu",Eugeniusz Get-Stankiewicz,"[""Get-Stankiewicz, Eugeniusz (1942-2011, born Oszmianie, died Wroclawiu)""]"
Q17343011,yes,yes,,,,"Gheyn, Jacques de, II","Dutch draftsman, painter, and engraver, 1565-1629",Jacques de Gheyn II,"[""Gheyn, Jacques de, II (Dutch draftsman, painter, and engraver, 1565-1629)""]"
Q7937162,yes,yes,,,,"Giacalone, Vito","1923-2012, born Detroit, MI, died Clinton, MI",Vito Giacalone,"[""Giacalone, Vito (1923-2012, born Detroit, MI, died Clinton, MI)""]"
Q157194,yes,yes,,,,"Giacometti, Alberto","Swiss painter, sculptor, and printmaker, 1901-1966",Alberto Giacometti,"[""Giacometti, Alberto (Swiss painter, sculptor, and printmaker, 1901-1966)""]"
Q21208132,yes,yes,,,,"Giampiccoli, Marco Sebastiano","Italian printmaker, 1737-1809",Marco Sebastiano Giampiccoli,"[""Giampiccoli, Marco Sebastiano (Italian printmaker, 1737-1809)""]"
,yes,no,,,,"Gibian, Mark",1954-,Mark Gibian,"[""Gibian, Mark (1954-)""]"
,yes,yes,,,,"Gibson, Anita",", born Lima, Peru",Anita Gibson,"[""Gibson, Anita (, born Lima, Peru)"",""Gibson, Anita"",""Gibson, Anita  (born Lima, Peru)""]"
Q151165,yes,yes,,,,"Gibson, Charles Dana","American illustrator and painter, 1867-1944",Charles Dana Gibson,"[""Gibson, Charles Dana (American illustrator and painter, 1867-1944)""]"
,yes,yes,,,,"Gibson, James",,James Gibson,"[""Gibson, James""]"
Q1233831,yes,yes,,,,"Gibson, Ralph","American photographer, publisher and actor, born 1939",Ralph Gibson,"[""Gibson, Ralph (American photographer, born 1939)"",""Gibson, Ralph (American photographer, publisher and actor, born 1939)"",""Gibson, Ralph (1939-, born Los Angeles, CA)""]"
Q7659513,yes,yes,,,,"Gibson, Sybil","American painter and naive artist, 1908-1995",Sybil Gibson,"[""Gibson, Sybil (American painter and naive artist, 1908-1995)""]"
Q464603,yes,yes,,,,"Gilbert, Cass","American architect, 1859-1934",Cass Gilbert,"[""Gilbert, Cass (American architect, 1859-1934)""]"
,yes,yes,,,,"Gilbert, Helen",1938-2001,Helen Gilbert,"[""Gilbert, Helen (1938-2001)""]"
Q94668625,yes,yes,,,,"Gilbert, Helen","1922-2002, born Mare Island, CA, died Honolulu, HI",Helen Gilbert,"[""Gilbert, Helen (1922-2002, born Mare Island, CA, died Honolulu, HI)""]"
,yes,no,,,,"Gill, Casey","1981-, born Monterey, CA",Casey Gill,"[""Gill, Casey (1981-, born Monterey, CA)"",""Gill, Casey (1981, born Monterey, CA)""]"
Q551426,yes,yes,,,,"Gill, Eric","British sculptor, typographer, and author, 1882-1940",Eric Gill,"[""Gill, Eric (British sculptor, typographer, and author, 1882-1940)""]"
,yes,yes,,,,"Gill, Jenny","1979-, born Monterey, CA",Jenny Gill,"[""Gill, Jenny (1979-, born Monterey, CA)"",""Gill, Jenny (1979, born Monterey, CA)""]"
Q2646288,yes,yes,,,,"Gillemans, Jan Pauwel, II","Flemish painter, baptised 1651, died before 1704",Jan Pauwel Gillemans II,"[""Gillemans, Jan Pauwel, II (Flemish painter, baptised 1651, died before 1704)""]"
Q2216478,yes,yes,,,,"Gilliam, Sam","American painter, born 1933",Sam Gilliam,"[""Gilliam, Sam (American painter, born 1933)""]"
Q559969,yes,yes,,,,"Gillot, Claude","French draftsman, painter, and engraver, 1673-1722",Claude Gillot,"[""Gillot, Claude (French draftsman, painter, and engraver, 1673-1722)""]"
Q17302923,yes,yes,,,,"Giovannini, Giacomo Maria","Italian painter and engraver, 1667-1717",Giacomo Maria Giovannini,"[""Giovannini, Giacomo Maria (Italian painter and engraver, 1667-1717)""]"
Q3104278,yes,yes,,,,"Giovenone, Gerolamo","Italian painter, born 1486 or 1487, died 1555",Gerolamo Giovenone,"[""Giovenone, Gerolamo (Italian painter, born 1486 or 1487, died 1555)""]"
Q11916574,yes,no,,,,"Giralt-Miracle, Daniel & Stachelhaus, Heiner",,Daniel Giralt-Miracle,"[""Giralt-Miracle, Daniel & Stachelhaus, Heiner""]"
Q215305,yes,yes,,,,Giulio Romano,"Italian painter and architect, probably 1499-1546",Giulio Romano,"[""Giulio Romano (Italian painter and architect, probably 1499-1546)""]"
Q21550356,yes,no,,,,"Glück, Heidi","American painter, born 1944",Heidi Glück,"[""Glück, Heidi (American painter, born 1944)""]"
Q98424,yes,yes,,,,"Gmelin, Wilhelm Friedrich","German engraver, 1760-1820",Wilhelm Friedrich Gmelin,"[""Gmelin, Wilhelm Friedrich (German engraver, 1760-1820)""]"
Q2748223,yes,yes,,,,"Goetz, Henri Bernard","French painter, born 1909",Henri Bernard Goetz,"[""Goetz, Henri Bernard (French painter, born 1909)""]"
,yes,no,,,,"Gold, Hel",,Hel Gold,"[""Gold, Hel""]"
Q20487023,yes,yes,,,,"Goldsleger, Cheryl","American painter, born 1951",Cheryl Goldsleger,"[""Goldsleger, Cheryl (American painter, born 1951)""]"
Q165367,yes,yes,,,,"Goltzius, Hendrick","Dutch painter and printmaker, 1558-1617",Hendrick Goltzius,"[""Goltzius, Hendrick (Dutch painter and printmaker, 1558-1617)""]"
Q1866375,yes,yes,,,,"Goltzius, Hubertus","Flemish humanist, painter and numismatist, 1526-1583",Hubertus Goltzius,"[""Goltzius, Hubertus (Flemish humanist, painter and numismatist, 1526-1583)""]"
Q3776378,yes,yes,,,,"Gomis, Joaquim","Spanish photographer, 1902-1991",Joaquim Gomis,"[""Gomis, Joaquim (Spanish photographer, 1902-1991)"",""Gomis, Joaquim (1902-1991, born Barcelona, Spain)""]"
,yes,no,,,,"Gonzáles, Teo","1964-, born Quinto, Spain",Teo Gonzáles,"[""Gonzáles, Teo (1964-, born Quinto, Spain)""]"
Q316531,yes,no,,,,"González, Julio","Spanish sculptor, draftsman, and metalworker, 1876-1942",Julio González,"[""González, Julio (Spanish sculptor, draftsman, and metalworker, 1876-1942)""]"
,yes,no,,,,"Goodyear, J.",,J. Goodyear,"[""Goodyear, J.""]"
Q75571020,yes,yes,,,,"Goodyear, John L.","American painter and sculptor, born 1930",John L. Goodyear,"[""Goodyear, John L. (American painter and sculptor, born 1930 )""]"
