Q_ID,employer_uuid,employer_ref1_hash,employer_ref1_referenceUrl
Q98569123,D6C927AD-64B1-4212-A3EA-7FB6309F5A96,8201f36c07b460d76ca1b61a2cca6d09913500fd,https://www.bluffton.edu/about/leadership/past-presidents.aspx
Q98569121,1A5B3DE9-92D1-41DD-9AFF-66701CA2892B,8201f36c07b460d76ca1b61a2cca6d09913500fd,https://www.bluffton.edu/about/leadership/past-presidents.aspx
