wikidataId,name,labelEn,alias,description,parentUnitReferenceRetrieved,officialWebsite
,Biomedical Engineering,Vanderbilt Department of Biomedical Engineering,"[""Vanderbilt Biomedical Engineering Department""]","department that integrates approaches in data science, artificial intelligence and engineering to drive medical or biological discovery",+2020-02-02T00:00:00Z,https://engineering.vanderbilt.edu/bme/index.php
,Chemical and Biomolecular Engineering,Vanderbilt Department of Chemical and Biomolecular Engineering,"[""Vanderbilt Chemical and Biomolecular Engineering Department""]",engineering department at the interface of chemistry and molecular biology,+2020-02-02T00:00:00Z,https://engineering.vanderbilt.edu/chbe/index.php
,Civil and Environmental Engineering,Vanderbilt Department of Civil and Environmental Engineering,"[""Vanderbilt Civil and Environmental Engineering Department""]",engineering department focused on the design of structures and solving environmental issues,+2020-02-02T00:00:00Z,https://engineering.vanderbilt.edu/cee/index.php
,Electrical Engineering and Computer Science,Vanderbilt Department of Electrical Engineering and Computer Science,"[""Vanderbilt Electrical Engineering and Computer Science Department""]",engineering department focused on design and problem solving in computer and electrical systems,+2020-02-02T00:00:00Z,https://engineering.vanderbilt.edu/eecs/index.php
,Mechanical Engineering,Vanderbilt Department of Mechanical Engineering,"[""Vanderbilt Mechanical Engineering Department""]","engineering department focused on materials, mechanical robotics, and related subjects",+2020-02-02T00:00:00Z,https://engineering.vanderbilt.edu/me/index.php
,Division of General Engineering,Vanderbilt Department of Division of General Engineering,"[""Vanderbilt Division of General Engineering Department""]",interdisciplinary department that includes engineering science and management,+2020-02-02T00:00:00Z,https://engineering.vanderbilt.edu/ge/index.php
,Interdisciplinary Materials Science Program,Vanderbilt Interdisciplinary Materials Science Program,,"an interdisciplinary program involving engineering, chemistry, physics, and medicine",+2020-02-02T00:00:00Z,https://engineering.vanderbilt.edu/materials-science/
