wikidataId,name,labelEn,alias,description,parentUnitStatementUuid,parentUnit,parentUnitReferenceHash,parentUnitReferenceSourceUrl,parentUnitReferenceRetrieved,officialWebsiteStatementUuid,officialWebsite,officialWebsiteReferenceHash,officialWebsiteReferenceRetrieved,instanceOfStatementUuid,instanceOf,instanceOfReferenceHash,instanceOfReferenceSourceUrl,instanceOfReferenceRetrieved
Q83549841,Human and Organizational Development,Vanderbilt Peabody Department of Human and Organizational Development,"[""Vanderbilt Peabody Human and Organizational Development Department""]",group of interdisciplinary programs that share a focus on organizations and the people within them,FC113937-9943-4821-9218-46ABA3D5183F,Q7157226,d733b428a7eaa32fbc831998f90b22e2057e0bc7,https://peabody.vanderbilt.edu/departments/,+2020-01-24T00:00:00Z,369CFD71-5F5B-4412-B212-7A4EBC2038BC,https://peabody.vanderbilt.edu/departments/hod/,818c1ab9b87d646066ced29697070542bc9b8d39,+2020-01-24T00:00:00Z,C2FB29FD-1619-499C-BC3C-6ED51ECFA4F5,Q2467461,ec89ad81a31f26e0a2da9fc4aa1c571721c2af09,https://peabody.vanderbilt.edu/departments/hod/,+2020-01-24T00:00:00Z
Q83550305,"Leadership, Policy, and Organizations","Vanderbilt Peabody Department of Leadership, Policy, and Organizations","[""Vanderbilt Peabody Leadership, Policy, and Organizations Department""]",academic department focused on educational leadership and policy,43C5B544-580D-4A08-B195-FD524F30548B,Q7157226,d733b428a7eaa32fbc831998f90b22e2057e0bc7,https://peabody.vanderbilt.edu/departments/,+2020-01-24T00:00:00Z,F234284A-8DD5-4916-A4E4-B189168F6361,https://peabody.vanderbilt.edu/departments/lpo/,818c1ab9b87d646066ced29697070542bc9b8d39,+2020-01-24T00:00:00Z,517BBAE7-9745-4E15-B6C6-5530BF60492F,Q2467461,a0be23302f8629dd6955e85caf9d81a7579e4e30,https://peabody.vanderbilt.edu/departments/lpo/,+2020-01-24T00:00:00Z
Q83550311,Psychology and Human Development,Vanderbilt Peabody Department of Psychology and Human Development,"[""Vanderbilt Peabody Psychology and Human Development Department""]","academic department working to increase understanding of basic psychological functioning in family, school, and other social contexts that influence development",B3332F41-B1B9-48F5-9A8F-126A7C0950A9,Q7157226,d733b428a7eaa32fbc831998f90b22e2057e0bc7,https://peabody.vanderbilt.edu/departments/,+2020-01-24T00:00:00Z,8FC900D3-286B-4C7B-A962-B03DFEEEEB26,https://peabody.vanderbilt.edu/departments/psych/,818c1ab9b87d646066ced29697070542bc9b8d39,+2020-01-24T00:00:00Z,08E44886-BCC4-4133-BD70-0F4E869FF7A9,Q2467461,e7f0f653edd2530d4337a7b0cb5133fe45b979bb,https://peabody.vanderbilt.edu/departments/psych/,+2020-01-24T00:00:00Z
Q83550317,Special Education,Vanderbilt Peabody Department of Special Education,"[""Vanderbilt Peabody Special Education Department""]",academic department focused on research and practice in special education,417A50F9-0E5C-48D0-A2E0-F4643263CC4C,Q7157226,d733b428a7eaa32fbc831998f90b22e2057e0bc7,https://peabody.vanderbilt.edu/departments/,+2020-01-24T00:00:00Z,5EB5ADF6-BC83-40E8-BFC0-07B4D19B336E,https://peabody.vanderbilt.edu/departments/sped/,818c1ab9b87d646066ced29697070542bc9b8d39,+2020-01-24T00:00:00Z,E0CE3BF9-B3C5-4320-B630-A713D56A23E4,Q2467461,842f9630e63a3b9b052d0ef15b42cee5dbeccb3f,https://peabody.vanderbilt.edu/departments/sped/,+2020-01-24T00:00:00Z
Q83550321,Teaching and Learning,Vanderbilt Peabody Department of Teaching and Learning,"[""Vanderbilt Peabody Teaching and Learning Department""]","academic department providing graduate, professional, and undergraduate training in teaching",ED4EFD3E-7BAE-435B-AF35-9D45F7190322,Q7157226,d733b428a7eaa32fbc831998f90b22e2057e0bc7,https://peabody.vanderbilt.edu/departments/,+2020-01-24T00:00:00Z,D7D8CA45-1EF6-4DCA-9A57-F3F9AD20CBDA,https://peabody.vanderbilt.edu/departments/tl/,818c1ab9b87d646066ced29697070542bc9b8d39,+2020-01-24T00:00:00Z,4E38A575-E811-4181-813F-6E2E022EF7DB,Q2467461,2f1e2b4e38abfde4f73a6def33c33ccab4913a30,https://peabody.vanderbilt.edu/departments/tl/,+2020-01-24T00:00:00Z
