wikidataId,name,labelEn,alias,description,parentUnitStatementUuid,parentUnit,parentUnitReferenceHash,parentUnitReferenceSourceUrl,parentUnitReferenceRetrieved,officialWebsiteStatementUuid,officialWebsite,officialWebsiteReferenceHash,officialWebsiteReferenceRetrieved,instanceOfStatementUuid,instanceOf,instanceOfReferenceHash,instanceOfReferenceSourceUrl,instanceOfReferenceRetrieved
Q79117795,Communication Studies,Vanderbilt Department of Communication Studies,"[""Vanderbilt Communication Studies Department""]","department focused on the rhetorical tradition, communication skills, and investigation of classical means of persuasion, argumentation and debate",F84C5148-8152-4EDE-A7D6-E185C7F20F94,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,827AB730-922E-4191-805D-7929D3B14D80,https://as.vanderbilt.edu/communication,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,1B4E08E1-9113-45D7-BFD2-A2B271A4B3DA,Q2467461,3a8819c7e917eb6090fc0450c0e39394a05faa65,https://as.vanderbilt.edu/communication,+2019-12-19T00:00:00Z
Q79117803,Earth and Environmental Sciences,Vanderbilt Department of Earth and Environmental Sciences,"[""Vanderbilt Earth and Environmental Sciences Department""]",department focused on understanding Earth's dynamic history and how geological processes affect modern environmental and ecological systems,E31D27C2-DAA6-4E87-B304-4270B28642A5,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,9B14F3F4-81DB-4799-909D-01AC1E76D74B,https://www.vanderbilt.edu/ees/,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,568CB6AD-7C9E-413B-AF63-C225265691C9,Q2467461,9394fe1190fd19e84eb7058d6de8225ed6cc7201,http://www.vanderbilt.edu/ees,+2019-12-19T00:00:00Z
Q79117810,Economics,Vanderbilt Department of Economics,"[""Vanderbilt Economics Department""]",department that provides rigorous training in micro and macroeconomics,E3B6DA24-9578-4385-BADD-498446879C3D,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,C27355E3-3095-47FB-87E6-D87FDD725987,https://as.vanderbilt.edu/econ,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,3E5B2326-7D52-482E-A258-819046DA8879,Q2467461,dc43e2b334483100008425ace85ad6a5113fd04d,https://as.vanderbilt.edu/econ,+2019-12-19T00:00:00Z
Q79117817,English,Vanderbilt Department of English,"[""Vanderbilt English Department""]",department studying English,8B0965A8-E184-4E82-9A52-A2413A996518,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,32B3EFB5-476C-4248-95EA-A8DF4C289F81,https://as.vanderbilt.edu/english,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,126A07FC-10EF-4BF1-A114-7FC7B00CF014,Q2467461,244739dc7a7a1b7a4e813a570c208457dbed2dea,https://as.vanderbilt.edu/english,+2019-12-19T00:00:00Z
Q79117827,European Studies,Vanderbilt Max Kade Center for European Studies,"[""Vanderbilt European Studies Department"",""Vanderbilt Department of European Studies""]",department focused on the study of European affairs,0F7D30D1-88D0-4E87-AEFE-E259CCBB26F2,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,DF15B4F4-3202-4B0B-B475-3AC5CD736DC9,https://as.vanderbilt.edu/europeanstudies,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,4F72ECB6-D978-4404-8192-50730659BB34,Q2467461,674f9fa57cdeb2d85e99ac9dc77065b605b8aa02,https://as.vanderbilt.edu/europeanstudies,+2019-12-19T00:00:00Z
Q79117832,French and Italian,Vanderbilt Department of French and Italian,"[""Vanderbilt French and Italian Department""]","department focused on study of French and Italian language, history, civilization, film, business, and literature",53F42279-79D4-43F3-98C0-2ACB3E1A0CC6,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,289FBE49-27D9-41E4-9692-6F5426A33728,https://as.vanderbilt.edu/french-italian,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,09CC12E3-B8E7-4207-AA81-3CB8C42004B7,Q2467461,d0a5878b38680d1d46cbe6e1cc8bb51752d01c9b,https://as.vanderbilt.edu/french-italian,+2019-12-19T00:00:00Z
Q79117839,"German, Russian and East European Studies","Vanderbilt Department of German, Russian and East European Studies","[""Vanderbilt German, Russian and East European Studies Department""]","department for the study of German, Russian, and East European histories, cultures, arts, and intellectual traditions",4B3E67BE-225C-4C98-AF1D-BF0557F58A11,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,CF7B5859-882E-46DD-8897-56CDBE7DDD69,https://as.vanderbilt.edu/german,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,3E0DB844-4D9C-4F38-AC2E-7EC7D761BF31,Q2467461,3d5646c4b7cde4bc125d4c3fb0e47685c2da3587,https://as.vanderbilt.edu/german,+2019-12-19T00:00:00Z
Q79117847,History,Vanderbilt Department of History,"[""Vanderbilt History Department""]",department focused on a range of historical questions and methodologies,295E791B-9F7B-478C-8E4D-14AA104526BA,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,A735A153-551A-436E-866B-F664F85E0071,https://as.vanderbilt.edu/history,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,A53AF940-0ABA-45EE-9128-1D270508EF0E,Q2467461,a110c9c4ce2a7f4edde41ba72033d493a41bcdf9,https://as.vanderbilt.edu/history,+2019-12-19T00:00:00Z
Q79117855,History of Art,Vanderbilt Department of History of Art,"[""Vanderbilt History of Art Department""]","department focused on the major fields in world art, from ancient through modern",FC1DBAB7-9783-4AE4-B1D0-97D32204EB94,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,B8435430-A3D5-4363-A4FA-8F9BD45C7383,https://as.vanderbilt.edu/historyart,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,8946B159-B37F-4BB8-A681-E5CA9FBD7137,Q2467461,6b4eada93c474da456a654a74ce92e19e92b848d,https://as.vanderbilt.edu/historyart,+2019-12-19T00:00:00Z
Q79117861,Jewish Studies,Jewish Studies at Vanderbilt,"[""Vanderbilt Jewish Studies Department"", ""Vanderbilt Department of Jewish Studies""]","an interdisciplinary academic program that facilitates the critical study of Jewish history, religion, language, philosophy, politics, culture, society, music, art, and literature",5C371079-01A4-4545-BDC0-DA7F4C8ADCD6,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,9A48C9D1-CC1D-40D3-ADBC-59085A248A44,https://as.vanderbilt.edu/jewishstudies,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,B40EF103-5E5A-49A6-97E6-4031C730D88C,Q2467461,ceb6988f06825df91749153cd5226c9a258140bd,https://as.vanderbilt.edu/jewishstudies,+2019-12-19T00:00:00Z
