qid,commons_id,local_identifier,label_en,directory,local_filename,rank,image_name,iiif_manifest,notes
Q102961245,M122562112,1992.083,"A Ghost Painting Coming to Life in the Studio of the Painter Okyō, from the series Yoshitoshi ryakuga (Sketches by Yoshitoshi)",1992,1992.083.tif,primary,"A Ghost Painting Coming to Life in the Studio of the Painter Okyō, from the series Yoshitoshi ryakuga (Sketches by Yoshitoshi) - Vanderbilt Fine Arts Gallery - 1992.083.tif",https://iiif-manifest.library.vanderbilt.edu/gallery/1992/1992.083.json,
Q103304554,M122746189,1970.040,Leaf from Italian Book of Hours - recto,1970,1970.040_recto_003.tif,primary,Leaf from Italian Book of Hours - recto - Vanderbilt Fine Arts Gallery - 1970.040 recto 003.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1970/1970.040.json,
Q103304554,M122746245,1970.040,Leaf from Italian Book of Hours - verso,1970,1970.040_verso_004.tif,secondary,Leaf from Italian Book of Hours - verso - Vanderbilt Fine Arts Gallery - 1970.040 verso 004.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1970/1970.040.json,
