act_id,qid,filename
57196,Q16941169,072 MS 65 F34 V.jpg
55127,Q4233718,10 Gebote (Lucas Cranach d A).jpg
55002,Q16006174,184 Württemberg und Mömpelgard Mömpelgarder Altar You know who.jpg
57977,Q18683955,1874 Monet Sommer anagoria.JPG
55507,Q11816717,1890 van Gogh First Steps - after Millet anagoria.JPG
56839,Q1490386,1907 Feddersen Heimkehr des verlorenen Sohnes anagoria.JPG
46240,Q21617100,Abel Grimmer 002.jpg
46218,Q348300,Adalpertus 001.jpg
55578,Q64800439,Adam Elsheimer - Glorification of the Cross - WGA7498.jpg
54949,Q17276233,Aert de Gelder - Het loflied van Simeon.jpg
46232,Q17334395,Aertgen van Leyden 001.jpg
58132,Q28949705,Albert Edelfelt - Sisäkuva Helsingin poikien työkodista (1885).jpg
46263,Q55854897,Albrecht Altdorfer - Kreuzigung Detail (Gemäldegalerie Alte Meister Kassel).jpg
46618,Q27978390,Albrecht Altdorfer 029.jpg
46246,Q25986,Albrecht Altdorfer 037.jpg
46241,Q25986,Albrecht Altdorfer 038.jpg
50205,Q3898508,Albrecht Dürer - The Fall of Man (Adam and Eve) - Google Art Project.jpg
46310,Q3947062,Albrecht Dürer 009.jpg
46319,Q3842750,Albrecht Dürer 010.jpg
46306,Q2598223,Albrecht Dürer 017.jpg
46327,Q16055586,Albrecht Dürer 025.jpg
46324,Q48447927,Albrecht Dürer 032.jpg
46269,Q3618168,Alesso Baldovinetti 003.jpg
54951,Q4233718,Andrea del Verrocchio 003.jpg
55008,Q17323503,Anonymous - Rich man and Lazarus ca. 1610.jpg
46074,Q3945928,Antonello da Messina 062.jpg
57969,Q3778388,"Arazzi di raffaello, cartone 05.1.jpg"
54955,Q27898358,"Backhuysen, Ludolf - Christ in the Storm on the Sea of Galilee - 1695.jpg"
46610,Q16627776,Bartolomé Esteban Perez Murillo - The Holy Family with a Bird - WGA16356.jpg
56395,Q20091450,Basaiti Call of the Sons of Zebedee.jpg
46411,Q12902420,Benozzo Gozzoli 004.jpg
46639,Q33246236,Beringarius 001.jpg
46608,Q27697334,Bernaerd van Orley 001FXD.jpg
46634,Q18572492,Bernardino Luini 001.jpg
46613,Q3907521,Bernardo Daddi 003.jpg
46589,Q5966403,Berthe Morisot 008.jpg
56475,Q23301547,Brandt Prayer in the steppe.jpg
54956,Q4233718,Brooklyn Museum - Christ Child with Passion Symbols - overall.jpg
57765,Q19858326,Brooklyn Museum - The Foolish Virgins (Les vierges folles) - James Tissot (cropped).jpg
57927,Q19858213,Brooklyn Museum - The Magnificat (Le magnificat) - James Tissot - overall .jpg
56404,Q18574350,Bruno Liljefors - Sea Eagles Nest.jpg
57395,Q19689027,Carel Fabritius - Hagar and the Angel - WGA07722.jpg
58108,Q18573952,Carl Wilhelmson - Church-Goers in a Boat - Google Art Project.jpg
46714,Q3842658,Carlo Crivelli 002.jpg
46786,Q3698183,Carlo Crivelli 003.jpg
46470,Q3907527,Carlo Crivelli 042.jpg
57229,Q20887918,Carlo Saraceni - The Martyrdom of St Cecilia - WGA20831.jpg
47249,Q16038721,Caspar David Friedrich - Evening - WGA08272.jpg
58408,Q18603171,Caspar David Friedrich - Frau auf der Treppe.jpg
55628,Q37979907,Cawen.jpg
46805,Q19014967,Charles-François Daubigny 002.jpg
58836,Q20537812,Christ and SocratesSAAM 1974.28.341A B 1.jpg
48068,Q18748474,Christ sur la mer de Galilée (Delacroix) Walters Art Museum 37.186.jpg
54920,Q3765122,Cima da Conegliano - David and Jonathan - WGA04912.jpg
46719,Q26503950,Claude Lorrain 020.jpg
58596,Q18683932,"Claude Monet, The Water Lily Pond, c. 1917-19, frame cropped, Google Art Project.jpg"
55840,Q19926297,"Collantes, Francisco - The Vision of Ezekiel - 1630.jpg"
50636,Q12878468,"Cormon, Fernand - Cain flying before Jehovah's Curse.jpg"
56086,Q17325393,Cornelis van Dalem (attr.) and Jan van Wechelen (attr.) - Church interior with Christ preaching to a crowd.jpg
46981,Q27980722,Cosmè Tura 004.jpg
46985,Q19911686,Cosmè Tura 034.jpg
54809,Q27980618,David Teniers de Jongere05.JPG
58709,Q29211491,"Delacroix - The Agony in the Garden, 1824-27.jpg"
55504,Q19911558,Delacroix Natchez.jpg
55647,Q19899766,Desolation Thomas Cole 1836.jpeg
46652,Q16025001,Diego Velázquez 009.jpg
49146,Q27518363,Dieric Bouts 004.jpg
54212,Q537192,Dieric il Vecchio Bouts Christ in the House of Simon.jpg
54995,Q4233718,Domenico Fetti 014.jpg
56723,Q3657389,"Domenico ghirlandaio, madonna della misericordia, ognissanti, Firenze.jpg"
49128,Q25444855,"Domenico Ghirlandaio, Visitation.jpg"
58757,Q26707719,Duccio di Buoninsegna - Transfiguration - WGA06780.jpg
49174,Q3873252,Duccio di Buoninsegna 058.jpg
49177,Q3873252,Duccio di Buoninsegna 062.jpg
49181,Q3873252,Duccio di Buoninsegna 065.jpg
